id,speaker,x,y
261,迪卢克,5.8815126,1.1397434
262,派蒙,-6.0327616,10.099217
263,迪卢克,6.311615,8.656015
264,迪卢克,1.1685469,1.6299168
265,迪卢克,6.1608677,7.198232
266,琴,8.684414,7.862514
267,旅行者,1.1937566,7.183423
268,旅行者,18.188402,-3.0381417
269,温迪,-0.1281445,1.7230678
270,琴,2.7432938,-0.08908002
271,迪卢克,1.9268059,5.7275047
272,迪卢克,2.2908864,4.167644
273,派蒙,1.2811128,1.7357148
274,琴,9.778649,7.3169036
275,琴,0.393041,4.9516287
276,迪卢克,1.3824818,5.6962385
277,迪卢克,2.4413884,1.4722097
278,迪卢克,4.8503556,0.72420216
279,迪卢克,8.139441,3.8411844
280,迪卢克,11.626699,6.5055575
281,派蒙,4.3802886,3.537191
282,琴,11.718169,6.7814174
283,派蒙,0.4073559,5.485594
284,琴,7.0317016,3.8653424
285,琴,8.096713,6.1169705
287,琴,6.0239673,3.5695617
288,琴,4.332523,6.4085193
289,派蒙,4.8891025,7.1342907
290,琴,11.552722,8.087829
291,派蒙,1.0917864,7.0030456
292,琴,1.9746208,5.526576
293,派蒙,2.289558,7.843101
295,派蒙,7.270757,7.960043
296,迪卢克,14.922349,6.461542
297,迪卢克,5.4733224,3.3691688
298,派蒙,-0.23087192,7.0926104
299,派蒙,5.583877,8.158799
300,派蒙,2.621429,3.079316
301,迪卢克,11.478062,6.986397
302,迪卢克,9.427215,7.0986643
303,派蒙,0.5873308,4.3899465
304,迪卢克,3.928496,4.809394
305,迪卢克,-1.4691771,0.3834599
306,迪卢克,1.9009519,1.1269315
307,派蒙,5.7266216,7.472385
308,迪卢克,10.690388,9.716769
309,迪卢克,8.788041,5.698174
310,迪卢克,6.8332715,7.0344996
311,迪卢克,7.3322945,5.15819
312,迪卢克,9.650763,6.671131
313,派蒙,5.0226974,3.4495325
314,派蒙,-1.58759,-1.0954494
315,派蒙,1.0193006,-0.11189784
316,迪卢克,9.023027,5.005303
317,迪卢克,2.135189,4.1075435
318,温迪,4.5433497,2.519388
319,温迪,0.46858075,7.2938504
320,风龙,5.89651,6.7638283
321,温迪,5.1047616,2.6119506
322,温迪,4.9622865,4.2987432
324,琴,2.2855897,8.233476
325,派蒙,4.4678288,3.4109893
326,深渊法师,5.656056,6.5179706
327,深渊法师,5.399628,5.300824
328,深渊法师,1.9942213,4.9442134
329,风龙,15.515017,4.556655
330,深渊法师,7.2646055,4.6995196
331,深渊法师,9.022875,4.9130588
332,风龙,8.36456,5.522351
333,温迪,0.5925926,7.9232116
334,风龙,10.508002,7.49921
335,风龙,2.0397859,-1.0355572
336,温迪,15.432968,4.2493434
343,风龙,9.044652,6.522019
344,温迪,5.9848943,4.4564295
345,温迪,7.382049,4.985501
347,琴,0.6222301,1.9418806
348,派蒙,4.4713855,3.4187343
349,深渊法师,3.7335684,4.1727157
350,深渊法师,6.853132,5.1601815
351,深渊法师,4.4393783,4.2614503
353,风龙,15.526046,4.566788
355,深渊法师,2.184775,7.1107383
356,深渊法师,2.1100945,7.690911
357,风龙,15.703,4.9095144
358,风龙,1.770072,7.913415
359,风龙,0.8571906,7.4281344
360,温迪,0.6853793,8.660953
361,深渊法师,10.2525835,8.870366
362,深渊法师,15.175041,5.376582
363,深渊法师,9.481724,8.312189
364,深渊法师,4.996646,3.142576
365,深渊法师,6.528232,7.419501
366,深渊法师,5.091547,2.9396365
367,温迪,15.404767,4.233049
368,温迪,1.4729122,7.217376
369,温迪,6.412578,9.700095
370,温迪,7.6689854,8.708472
372,温迪,1.3485266,4.937458
373,旅行者,-3.5263019,7.427186
374,温迪,4.617625,3.4200819
375,旅行者,5.3613467,9.499491
376,温迪,7.950884,8.816237
377,旅行者,2.4180906,8.195925
378,旅行者,7.152535,9.4527025
380,温迪,11.5528345,7.869575
381,温迪,0.21455035,-0.51894426
382,温迪,10.241495,4.29056
383,温迪,7.619884,7.1825333
384,温迪,0.4102521,3.0482204
385,迪卢克,0.63618994,4.352469
386,迪卢克,7.529009,6.8353343
387,琴,6.9237742,10.3574295
388,琴,10.434315,4.729889
389,温迪,4.9970603,6.9149017
391,琴,2.3100603,6.912366
